NAME	DESCRIPTION	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
ENSMUSG00000054659	NA	19.08319911	15.79704643	4.651864693	7.286115211	11.58616572	8.215369767	8.395034453	14.86242866
ENSMUSG00000054662	NA	706.0310936	992.3463868	1009.168386	797.884019	562.2811249	632.0675691	568.1732829	508.657147
ENSMUSG00000054672	NA	0	0.913204089	1.108819903	0	0	0	0	0
ENSMUSG00000054675	NA	58.10947337	53.18938	54.12194791	36.70688248	54.6239417	62.91162044	29.62931811	57.72373933
ENSMUSG00000054676	NA	139.9899579	231.5065355	191.3265378	202.767862	152.7666298	200.2742574	197.6725771	166.6436351
ENSMUSG00000054679	NA	0	0	1.148361423	1.806213305	1.059507005	0.940736991	0	0.924999266
ENSMUSG00000054690	NA	2.829815317	18.86352874	8.250772993	4.628378466	12.26047768	28.31391873	0	12.06132546
ENSMUSG00000054693	NA	2590.889984	2829.904323	3531.117922	3300.83167	4559.001624	4577.369829	4994.117955	3764.285157
ENSMUSG00000054702	NA	413.9513897	481.9182042	673.9229067	588.4654458	690.7606085	651.603514	653.8806237	723.4679427
ENSMUSG00000054708	NA	47.32616932	33.24331897	65.19048647	61.72751323	21.60828091	16.52870358	37.03424927	31.27002804
ENSMUSG00000054715	NA	87.39654041	119.1653641	73.65268048	100.7726378	57.40600436	79.63270393	57.20370718	74.96439386
ENSMUSG00000054716	NA	130.4012982	99.7546548	81.7561275	103.5130798	69.07739344	64.07501121	67.98438486	308.6775603
ENSMUSG00000054717	NA	933.5119161	831.348431	539.3646685	845.368401	531.8223939	708.0897598	346.0061697	468.5584808
ENSMUSG00000054720	NA	58.40594889	52.42086472	43.99323642	28.14306503	51.54070868	51.98602395	37.58721312	26.07735787
ENSMUSG00000054723	NA	281.2775551	229.0055195	186.0257081	233.2697733	178.0281387	152.34987	218.4086945	282.945011
ENSMUSG00000054728	NA	0.197078612	4.668869782	40.04158214	0	0.455674902	2.438046002	6.589259254	0.392623963
ENSMUSG00000054733	NA	78.62534858	126.7428664	124.2819888	90.6103721	88.55694936	123.1984631	49.17639153	78.4550302
ENSMUSG00000054737	NA	68.14613096	68.88064804	104.5095765	66.36669917	57.1612058	88.0457038	61.2849571	83.30986732
ENSMUSG00000054746	NA	0.928148757	0	0	0	0	0	0	0.926630902
ENSMUSG00000054752	NA	122.0699184	68.58461099	80.26095104	102.0856082	99.25936295	123.6643798	116.7119804	148.3973539
