"","GENEID","Fabp_1","Fabp_2","Fabp_3","Fabp_4","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4"
"33","CMA1",14.9144192596229,1.7484495668485,6.81869800039127,17.9546701652942,59.485920176554,2.79295760994752,191.405999676974,0
"34","ST3GAL6",886.095449672993,599.216102651233,1019.21954524597,2582.52534204782,2111.20856719841,1132.80681129973,3260.32432346547,2882.42251107306
"35","EAF2",23.0178796018155,42.5623042192235,73.9347832603706,181.930527082775,91.6409259915846,24.4059697432079,203.351114133859,19.8821048149879
"36","CXCL13",9.90613012335697,109.467707785393,95.3184742072345,164.012021099263,100.20637980313,37.9173541288647,181.560880675456,60.3579881470184
"37","GZMA",257.921004529264,607.932934798775,494.685133994624,81.1439457810804,152.916580636961,430.837153113165,84.244319396049,66.6369683678345
"38","CD4",4.9342818827703,125.677767709585,7.54595457225062,102.889978113774,54.7136643790554,49.744271847818,144.763252243832,4.95793675881337
"39","PLA2G7",41.9331721188525,83.7269779319772,50.0826407501621,69.6093919169422,36.3854277859326,40.7465745782728,85.7083600329885,72.7549173890132
"40","MEP1A",10023.8950735125,7086.45091223566,8661.17022218814,5027.25366292353,8314.49181584716,7080.29618772037,6318.2644801396,6950.28083831955
"41","SIK1",91.455293268229,64.2008150668652,79.1647210163996,85.5297135537191,108.298335385993,63.3311077368436,188.445097373132,105.90740688989
"42","QPCT",1.83662045056756,11.4530150728565,16.0067111665566,7.20497766011579,78.0933347546235,27.4118747825112,144.286969125561,53.4446738667202
"43","MZB1",16.8574664690504,168.075833842362,94.1721651091126,95.8527073129232,83.5229456002638,70.7404585322073,55.0538115729466,12.0523758798338
"44","LTB",21.6594171448578,91.9676734470567,73.6328680031381,42.6282043804991,81.1350157147604,53.993824599895,95.9563636991694,24.1806648844302
"45","RAB27B",818.820460970367,674.9122423735,961.540268662039,1082.77039866021,1493.63605593842,984.285703701141,1716.17285491568,1741.33408584192
"46","MS4A1",6.27539303191946,108.131913614374,199.659480673429,158.499901822924,166.35154608146,32.3495093190345,256.007750572294,31.9466027319648
"47","TRPM6",1466.1182833389,885.335257639397,1151.21562499641,3280.21464674252,368.734158925123,189.440212219596,369.305134998555,280.318308578302
"48","FRMD8",1026.38119698046,719.536686184623,916.690328897961,887.402150276739,842.716167778578,871.812109689529,1134.87286768541,1401.38120706625
"49","CTSW",39.0560172020157,87.0688870839968,82.8983257932631,39.1933830940782,27.9316533852553,61.5537621822568,24.0013471313343,24.8555720133618
"50","MAP4K2",133.457116616865,121.975270848921,79.8567349264277,39.3837375638642,86.0799013961187,107.584639789276,103.474595763953,93.297351052787
"51","CD7",98.5116074851967,219.428415289852,215.909604791785,96.6450604602921,92.8974046006297,176.74081199273,35.9967663960238,36.0703360035002
"52","DGKA",1954.735308795,2404.19266050775,3168.35987306484,2500.04944066792,3809.51526245768,3494.00284003296,5167.24152371143,3684.56362959829
"53","ALOX5",123.947955021135,85.4786306874241,25.5221516861581,70.7106558278923,125.00126480234,26.3781547680642,56.7864074149215,127.47152434124
"54","CCL20",29.7346204127607,37.5500329182714,77.9995531257314,166.622002584634,83.5131576804759,8.67459570095299,32.1342843121669,31.9860341377818
"55","CYP27A1",186.956652092147,169.563781545568,157.886531557556,157.215995365022,179.404772703536,46.2198140849509,483.054766198718,165.77610351786
"56","PASK",86.1842020218001,76.0832834459832,87.1836813440918,58.3533216964168,37.8030873080762,51.3467170877013,27.7081335640791,48.3578418443455
"57","TNFRSF11A",1222.10048984656,970.951508485932,1153.48847396607,1509.35619472101,1424.25336188136,1229.76309447545,1306.65135618051,1229.47674430283
"58","NCF2",254.880247749341,338.628779673171,296.288818994607,585.234082547144,375.248303600927,167.15389635422,528.224717976165,229.068274646396
"59","RALGPS2",996.191983961641,1021.63100678738,1130.25019071366,1201.62618844129,1636.0784597067,1556.56022093249,1565.10184523053,1624.51260858882
"60","CR2",0,14.585826911147,143.968438273479,59.8206726406251,29.7098706092365,18.6430291516655,363.669486147583,9.17739105632575
"61","FCGR2B",112.063796119015,140.902143856574,131.79492280724,143.31589828655,75.739862929214,99.9838633859227,86.6029491364626,30.0832409294801
"62","FRMD4A",107.424445141359,78.5892996545783,66.332973899535,109.267562498862,78.5191515882996,80.7950848218763,57.9091996329103,86.1521883718461
"63","BFSP1",61.7936397334334,70.7198614151311,104.400224396515,257.782770533027,82.7593109086799,55.9670021882342,231.817327213111,83.5376451453168
"64","ZBP1",1191.03681520711,1655.16484621245,1728.34286429388,2163.56510041671,1554.79515904441,1899.62041868035,1976.2044873838,282.79251213946
"65","FAM198B",93.183822128436,49.6312061836223,32.2242357307017,25.3359435981653,7.66088515764685,14.319396568287,20.9460137013457,5.23534349726473
"66","TLR2",929.135334381858,1264.11138769204,886.882691289561,655.176121248774,162.665727446434,270.0503166661,114.248659445041,154.721905412071
"67","CD72",26.0866596247979,38.465840166872,86.187963630153,60.7651668734835,61.6402164035907,43.7571022534228,32.2468808502403,27.5424743999921
"68","ORC1",59.3094271134875,394.431703523438,52.8672173365893,41.0361596037679,40.2560649801372,422.259821399206,30.4232653843304,44.0324918503745
